               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065852,            0.031656,                   0,             0.56754,             0.75221,             0.71355,              0.2125,            0.021524,            0.018521,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.047777,            0.022345,                   0,             0.51723,             0.81416,             0.69267,             0.31712,            0.027638,            0.010642,                   0,            0.041371,           0.0063713,           0.0063713
                   2,            0.041612,            0.017774,                   0,             0.82933,             0.86008,             0.91025,             0.45339,            0.023215,           0.0077612,                   0,            0.011412,           0.0094119,           0.0094119
                   3,            0.034753,            0.015311,                   0,             0.99121,             0.99744,               0.995,             0.56503,             0.01909,           0.0054827,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.030079,            0.012624,                   0,             0.83682,              0.9646,             0.93919,              0.6259,            0.013867,           0.0056232,                   0,            0.009406,            0.009406,            0.009406
                   5,              0.0265,            0.010724,                   0,             0.99911,                   1,               0.995,             0.65349,           0.0092897,           0.0047698,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.023911,            0.010159,                   0,             0.99884,                   1,               0.995,              0.6253,           0.0082079,           0.0045557,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.02292,           0.0095718,                   0,             0.99937,                   1,               0.995,             0.80233,           0.0085007,           0.0038963,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.022374,           0.0094168,                   0,             0.99932,                   1,               0.995,             0.79937,           0.0077417,           0.0036865,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.019615,           0.0086959,                   0,             0.99933,                   1,               0.995,             0.85058,           0.0074163,           0.0036734,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.021535,           0.0082604,                   0,             0.99934,                   1,               0.995,             0.78741,           0.0066743,           0.0035119,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.017273,           0.0074723,                   0,             0.99945,                   1,               0.995,             0.92256,           0.0030904,           0.0031509,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.017204,           0.0073065,                   0,             0.99945,                   1,               0.995,              0.7402,           0.0062502,            0.003327,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.017017,            0.007443,                   0,             0.99947,                   1,               0.995,             0.90038,           0.0066812,           0.0032249,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.017141,           0.0072701,                   0,             0.99946,                   1,               0.995,              0.9239,            0.006519,           0.0030107,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.014927,           0.0071814,                   0,             0.99943,                   1,               0.995,             0.85058,           0.0046309,            0.003076,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.01571,            0.007305,                   0,             0.99946,                   1,               0.995,             0.78583,           0.0086581,           0.0031156,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.016076,             0.00708,                   0,             0.99945,                   1,               0.995,             0.88948,           0.0034139,            0.002655,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.01379,           0.0069456,                   0,             0.99947,                   1,               0.995,             0.85737,           0.0067967,           0.0031605,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.012794,           0.0069035,                   0,             0.99948,                   1,               0.995,             0.89991,           0.0065254,           0.0030991,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.014699,           0.0066184,                   0,             0.99947,                   1,               0.995,             0.92452,           0.0038845,           0.0029447,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.011187,           0.0062103,                   0,             0.99947,                   1,               0.995,             0.94521,           0.0030113,           0.0026673,                   0,             0.00604,             0.00604,             0.00604
                  22,           0.0096087,           0.0062086,                   0,             0.99946,                   1,               0.995,             0.93362,           0.0027436,           0.0024637,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.011964,            0.006631,                   0,              0.9995,                   1,               0.995,             0.93786,           0.0026243,           0.0024142,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.011354,           0.0062681,                   0,             0.99948,                   1,               0.995,             0.82674,           0.0054346,           0.0026687,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.012269,           0.0065402,                   0,             0.99949,                   1,               0.995,             0.92168,            0.004035,           0.0027222,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.010317,            0.006248,                   0,             0.99947,                   1,               0.995,             0.93355,           0.0028139,           0.0024219,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.010731,           0.0059094,                   0,             0.99951,                   1,               0.995,             0.92464,           0.0031498,           0.0027358,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.010227,           0.0058363,                   0,             0.99951,                   1,               0.995,             0.91937,           0.0026603,           0.0025674,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.011621,           0.0060139,                   0,             0.99951,                   1,               0.995,             0.95345,            0.002376,           0.0023934,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.010293,            0.005639,                   0,             0.99948,                   1,               0.995,             0.95596,           0.0025064,           0.0022791,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.010732,           0.0059434,                   0,             0.99949,                   1,               0.995,             0.95555,           0.0028804,            0.002279,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.010106,           0.0056754,                   0,              0.9995,                   1,               0.995,             0.93939,           0.0033505,           0.0023279,                   0,            0.003862,            0.003862,            0.003862
                  33,           0.0075457,           0.0055297,                   0,             0.99949,                   1,               0.995,             0.95629,           0.0031778,           0.0023668,                   0,            0.003664,            0.003664,            0.003664
                  34,           0.0092076,           0.0054647,                   0,             0.99948,                   1,               0.995,             0.95698,             0.00246,           0.0022218,                   0,            0.003466,            0.003466,            0.003466
                  35,           0.0089926,           0.0055616,                   0,             0.99952,                   1,               0.995,             0.96998,           0.0024366,           0.0022436,                   0,            0.003268,            0.003268,            0.003268
                   0,            0.064432,            0.032159,                   0,             0.71603,             0.89381,              0.8356,             0.37362,            0.014952,            0.019585,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.048132,            0.022677,                   0,              0.2305,             0.69912,             0.23673,            0.084026,            0.034157,            0.014906,                   0,            0.041243,           0.0062426,           0.0062426
                   2,            0.040711,            0.016886,                   0,             0.67028,             0.89381,             0.79758,             0.35892,            0.020612,           0.0085731,                   0,            0.011024,           0.0090238,           0.0090238
                   3,            0.034315,            0.014477,                   0,             0.69589,             0.99115,             0.76478,             0.50178,            0.014095,           0.0076513,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.031781,            0.012188,                   0,             0.76205,             0.87611,             0.90648,             0.42278,            0.013035,            0.005791,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.028337,            0.011283,                   0,             0.98988,                   1,             0.99491,             0.75323,             0.01182,           0.0048559,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.028449,            0.010697,                   0,             0.93862,                   1,             0.98811,             0.62224,           0.0091728,           0.0043356,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.025254,           0.0096873,                   0,             0.99902,                   1,               0.995,             0.74556,           0.0068385,           0.0037287,                   0,            0.007624,            0.007624,            0.007624
                   8,             0.02287,           0.0090747,                   0,             0.99931,                   1,               0.995,             0.74617,           0.0080602,           0.0039904,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.020291,           0.0084664,                   0,             0.99938,                   1,               0.995,             0.85148,           0.0060618,           0.0034344,                   0,            0.006832,            0.006832,            0.006832
                   0,            0.064432,            0.032159,                   0,             0.71603,             0.89381,              0.8356,             0.37362,            0.014952,            0.019585,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.048132,            0.022677,                   0,              0.2305,             0.69912,             0.23673,            0.084026,            0.034157,            0.014906,                   0,            0.041243,           0.0062426,           0.0062426
                   2,            0.040711,            0.016886,                   0,             0.67028,             0.89381,             0.79758,             0.35892,            0.020612,           0.0085731,                   0,            0.011024,           0.0090238,           0.0090238
                   3,            0.034315,            0.014477,                   0,             0.69589,             0.99115,             0.76478,             0.50178,            0.014095,           0.0076513,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.031781,            0.012188,                   0,             0.76205,             0.87611,             0.90648,             0.42278,            0.013035,            0.005791,                   0,            0.008812,            0.008812,            0.008812
